"FEE_KEY","FEE_VALUE","FEE_ORDER"
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","888999-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","888999-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","888999-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","888999-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","888999-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","888999-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970406-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970406-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970406-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970406-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970406-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970406-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970412-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970412-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970412-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970412-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970412-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970412-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970421-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970421-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970421-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970421-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970421-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970421-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970422-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970422-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970422-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970422-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970422-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970422-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970423-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970423-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970423-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970423-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970423-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970423-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970433-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970433-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970433-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970433-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970433-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970433-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970437-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970437-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970437-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970437-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970437-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970437-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970438-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970438-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970438-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970438-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970438-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970438-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970442-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970442-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970442-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970442-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970442-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970442-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970443-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970443-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970443-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970443-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970443-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970443-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970448-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970448-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970448-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970448-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970448-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970448-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970458-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970458-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970458-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970458-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970458-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970458-130020-704-6011-91",1.000000
