TRACE,ISSUER_FE,SEQUENCE_IN_MONTH
2000002,130004,1
2001496,130017,11130
2002545,130017,11216
2003639,130020,5101
2003640,130020,5102
2003641,130020,5103
2003642,130020,5104
2003647,130020,5105
2003648,130020,5106
2003649,130020,5107
2003658,130020,5108
2003659,130020,5109
2003660,130020,5110
2003661,130020,5111
2003675,130020,5112
2003677,130020,5113
2003686,130017,11102
2003691,130020,5114
2003694,130020,5115
2003698,130020,5116
2003733,130020,5117
2003742,130020,5118
2003744,130020,5119
2003876,130017,11033
2006363,,
2006364,,
2006365,,
2008877,130017,11108
2012087,130017,11087
2014009,130017,10973
2015766,130017,11251
2016902,980478,
2016905,980478,
2016912,980478,
2016913,980478,
2021122,130017,11039
2023996,130017,11037
2025540,980478,
2025567,980478,
2026896,130017,11019
2028829,130017,11065
2042966,130017,11209
2043289,130017,11059
2054448,130017,11117
2054931,130017,11163
2055622,130017,11049
2058216,130017,11257
2069338,130017,11152
2070587,130017,11274
2071084,130017,11106
2072090,130017,11139
2073378,130017,11198
2074102,130017,11235
2075051,130017,10951
2075213,130017,11149
2075793,130006,26
2076053,130017,11092
2088830,130017,11006
2100486,130017,11055
2100636,130017,11179
2103294,980478,
2103460,980478,
2103461,980478,
2103520,980478,
2106169,130017,10975
2106502,980478,
2106503,980478,
2106785,980478,
2114248,130017,11083
2120383,130017,10997
2121143,130017,11188
2121294,130017,11202
2123869,130017,11101
2131961,130017,11048
2136587,130017,11259
2139318,130016,120
2139333,130017,11233
2142525,130017,11002
2143287,130017,11013
2144948,130017,11180
2145989,130017,11239
2146436,130017,11046
2152861,130017,11267
2154191,130017,11050
2158439,130017,11268
2166158,130017,11224
2166783,130017,11161
2168233,130017,11214
2168350,130017,11073
2171272,130017,11252
2175378,130017,11054
2175564,130017,11017
2183559,130017,11147
2185135,130017,10995
2185444,130017,10983
2186242,130017,10978
2195072,130017,11022
2199086,130017,11215
2199162,130017,11061
2203944,130017,11246
2205032,130017,11082
2205062,130017,11000
2207385,130017,10991
2211817,130017,11069
2215203,130015,84
2217074,130017,11095
2219665,130017,11193
2219997,130017,11124
2224417,130017,11255
2225583,130017,10977
2227786,130017,11007
2229060,130017,11271
2229110,130017,11263
2233741,130017,11213
2237119,130017,11057
2237235,130017,10957
2238777,130017,11136
2239363,130017,10985
2240694,980478,
2242223,130017,10953
2242742,130017,11156
2253558,130017,11075
2255827,130017,11145
2258342,130017,11158
2261671,130017,11071
2261727,130017,11003
2262705,130017,11025
2263752,130017,11196
2265249,130017,11276
2270143,130017,11066
2272670,130017,11183
2278544,130017,11011
2285578,130017,11035
2286759,130017,11058
2291484,130017,10993
2292389,130017,11127
2294055,980478,
2294961,130017,10962
2299678,130017,11064
2302164,130017,11084
2303358,130017,11205
2303432,130017,11219
2307963,130017,11030
2313224,130017,11185
2318248,130017,10965
2323607,130017,11091
2324447,130017,397
2325442,130017,11159
2326696,130017,11051
2327210,130017,11053
2327685,130017,11190
