TIDB,,,,ORA,,,,Compare
trace,ISSUER_FE,SEQUENCE_IN_MONTH,,TRACE,ISSUER_FE,SEQUENCE_IN_MONTH,,
2000002,130004,1,,2000002,130004,1,,0
2001496,130017,11130,,2001496,130017,11130,,0
2002545,130017,11216,,2002545,130017,11216,,0
2003639,130020,5101,,2003639,130020,5101,,0
2003640,130020,5102,,2003640,130020,5102,,0
2003641,130020,5103,,2003641,130020,5103,,0
2003642,130020,5104,,2003642,130020,5104,,0
2003647,130020,5105,,2003647,130020,5105,,0
2003648,130020,5106,,2003648,130020,5106,,0
2003649,130020,5107,,2003649,130020,5107,,0
2003658,130020,5108,,2003658,130020,5108,,0
2003659,130020,5109,,2003659,130020,5109,,0
2003660,130020,5110,,2003660,130020,5110,,0
2003661,130020,5111,,2003661,130020,5111,,0
2003675,130020,5112,,2003675,130020,5112,,0
2003677,130020,5113,,2003677,130020,5113,,0
2003686,130017,11102,,2003686,130017,11102,,0
2003691,130020,5114,,2003691,130020,5114,,0
2003694,130020,5115,,2003694,130020,5115,,0
2003698,130020,5116,,2003698,130020,5116,,0
2003733,130020,5117,,2003733,130020,5117,,0
2003742,130020,5118,,2003742,130020,5118,,0
2003744,130020,5119,,2003744,130020,5119,,0
2003876,130017,11033,,2003876,130017,11033,,0
2006363,,,,2006363,,,,0
2006364,,,,2006364,,,,0
2006365,,,,2006365,,,,0
2008877,130017,11108,,2008877,130017,11108,,0
2012087,130017,11087,,2012087,130017,11087,,0
2014009,130017,10973,,2014009,130017,10973,,0
2015766,130017,11251,,2015766,130017,11251,,0
2016902,980478,,,2016902,980478,,,0
2016905,980478,,,2016905,980478,,,0
2016912,980478,,,2016912,980478,,,0
2016913,980478,,,2016913,980478,,,0
2021122,130017,11039,,2021122,130017,11039,,0
2023996,130017,11037,,2023996,130017,11037,,0
2025540,980478,,,2025540,980478,,,0
2025567,980478,,,2025567,980478,,,0
2026896,130017,11019,,2026896,130017,11019,,0
2028829,130017,11065,,2028829,130017,11065,,0
2042966,130017,11209,,2042966,130017,11209,,0
2043289,130017,11059,,2043289,130017,11059,,0
2054448,130017,11117,,2054448,130017,11117,,0
