Tidb,,,Oracle,
ZEN_TYPE,ZEN_VALUE,,ZEN_TYPE,ZEN_VALUE
ACQUIRER,970406,,ACQUIRER,970406
ACQUIRER,970412,,ACQUIRER,970412
ACQUIRER,970421,,ACQUIRER,970421
ACQUIRER,970422,,ACQUIRER,970422
ACQUIRER,970423,,ACQUIRER,970423
ACQUIRER,970433,,ACQUIRER,970433
ACQUIRER,970437,,ACQUIRER,970437
ACQUIRER,970438,,ACQUIRER,970438
ACQUIRER,970442,,ACQUIRER,970442
ACQUIRER,970443,,ACQUIRER,970443
ACQUIRER,970448,,ACQUIRER,970448
ACQUIRER,970458,,ACQUIRER,970458
ACQUIRER,970459,,ACQUIRER,970459
ACQUIRER,970466,,ACQUIRER,970466
ACQUIRER,970468,,ACQUIRER,970468
ACQUIRER,970488,,ACQUIRER,970488
ACQUIRER,981957,,ACQUIRER,981957
CURRENCY_CODE,704,,CURRENCY_CODE,704
ISSUER,130004,,ISSUER,130004
ISSUER,130006,,ISSUER,130006
ISSUER,130015,,ISSUER,130015
ISSUER,130016,,ISSUER,130016
ISSUER,130017,,ISSUER,130017
ISSUER,130020,,ISSUER,130020
ISSUER,980478,,ISSUER,980478
MERCHANT_TYPE,6011,,MERCHANT_TYPE,6011
PCODE,91,,PCODE,91
